"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "PostCSS", "Java Properties", "Java", "HTML", "Batch", "Makefile", "Python", "toml", "Ini", "YAML", "comment", "blank", "total"
"c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\__main__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 10, 28
"c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\collector.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 11, 14, 56
"c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\exception.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 5, 13
"c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 4, 13
"c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 18, 32, 156
"c:\Users\Kozy\Documents\princecomparison_dom\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Kozy\Documents\princecomparison_dom\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 26, 16, 150
"c:\Users\Kozy\Documents\princecomparison_dom\package-lock.json", "JSON", 0, 0, 6162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6163
"c:\Users\Kozy\Documents\princecomparison_dom\package.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Kozy\Documents\princecomparison_dom\pom.xml", "XML", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\Kozy\Documents\princecomparison_dom\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 20
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 26, 16, 150
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\pom.xml", "XML", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 145
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\run_scraper_test.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\run_scraping_service_test.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\PriceComparatorApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\AsyncConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\FirebaseConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\WebConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\WebSocketConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\controller\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\controller\ProductController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 5, 17, 121
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\AliexpressMatch.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 11, 49
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\AmazonProduct.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\ComparisonResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\ComparisonResult.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 3, 17, 78
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\PriceComparison.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 13, 59
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\ShoppingProduct.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\ProductDocument.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 2, 41, 180
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\RetailerInfo.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\SpecificationInfo.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\AmazonApiService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 2, 36, 257
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\AuthService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 10, 49
